TokenID,ASTrns_KD,ASTrns_annotations_90,ASTrns,ASUncc_KD,ASUncc_annotations_90,ASUncc,ASUnrg_KD,ASUnrg_annotations_90,ASUnrg,AktAcc_KD,AktAcc_annotations_90,AktAcc,AktAch_KD,AktAch_annotations_90,AktAch,AktAct_KD,AktAct_annotations_90,AktAct,AktSemel_KD,AktSemel_annotations_90,AktSemel,AktState_KD,AktState_annotations_90,AktState,ClCntfcl_KD,ClCntfcl_annotations_90,ClCntfcl,ClNegPol_KD,ClNegPol_annotations_90,ClNegPol,DtDTAM_KD,DtDTAM_annotations_90,DtDTAM,DtExp_KD,DtExp_annotations_90,DtExp,DtRes_KD,DtRes_annotations_90,DtRes,DtUniv_KD,DtUniv_annotations_90,DtUniv,TLAspPfv_KD,TLAspPfv_annotations_90,TLAspPfv,TLMdIrr_KD,TLMdIrr_annotations_90,TLMdIrr,TLTS_KD,TLTS_annotations_90,TLTS,VcPass_KD,VcPass_annotations_90,VcPass
40001018,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
40003002,0,1,N,1,0,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40005043,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40006016,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40008010,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40009033,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40011012b,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40011021b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
40011027,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
40012018,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40013051,0,1,N,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40015032,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
40018012,0,0,Y,1,0,N,0,1,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
40018013b,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y
40019012,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40019028,1,0,N,0,1,N,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
40020007,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40021016,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40022004,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40022034,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,0,0,Y
40024043c,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,1,Y
40025027b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
40026009,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,1,Y
40026065,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027023,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40027046,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
40028007b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41001015,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41002012,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y
41004015b,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
41004029,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41005015,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N
41006014a,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,1,N
41006052,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y
41009009a,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y
41009034,1,0,N,0,0,Y,0,1,N,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
41010028a,1,0,N,0,0,Y,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41010029,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41012010,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41014005a,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,1,1,Y
41014009,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41014064,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
41015046,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,1,Y
41016006a,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
41016014a,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42001001a,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001003,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001025,1,0,N,0,0,Y,0,1,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001036,0,1,N,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42001049,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42002017,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,1,0,N,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42002030,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42002039,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42004013,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42004035,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42005026,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42007016d,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42007045,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
42008002b,0,0,Y,1,0,N,0,1,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42008039a,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42008056,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,1,0,N
42009008b,0,0,Y,1,0,N,0,1,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42010013b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
42010042,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42011042,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,0,Y,0,0,Y,1,1,Y,1,1,Y,0,0,Y,0,0,Y
42012039b,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,1,1,Y,0,0,Y,0,0,Y
42013007a,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
42013007c,1,1,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y,0,1,N,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y
42015021,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42015029a,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y
42015029c,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42017010b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y
42017019,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42018028,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42019015,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,1,N,0,0,Y
42019030,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42019046,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42022028,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y
42023008,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,1,0,N,0,0,Y,1,1,Y,0,0,Y
42023015,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
42024004,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42024023,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
42024030,0,0,Y,1,0,N,0,1,N,0,1,N,1,0,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y
43001041,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
43002010a,1,0,N,0,0,Y,0,1,N,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
43003011,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
43003024,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,1,N,1,0,N,0,1,N,0,0,Y,1,1,Y,1,1,Y
43003032b,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,1,0,N,0,1,N,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
43003035,1,1,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
43004039,1,1,Y,0,0,Y,0,0,Y,1,0,N,0,0,Y,0,1,N,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,1,1,Y,0,0,Y,0,0,Y,0,0,Y
