TokenID,FullText,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,metadata
40001018,"The birth genesis : origin beginning of Jesus Christ was as follows : His mother Mary had been promised to Joseph in marriage . But before they were married , Mary realized that she was pregnant by Holy Spirit .",had been promised,0,1,0,,1,1,0,0,0,1,0,0,1,0,0,0,1,0,
40003002,"» Repent , for the kingdom of heaven has come near . «",has come near,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40005043,"» You have heard it said , ‘ You should love your neighbor and hate your enemy . ’",have heard,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40006016,"» When you abstain from food , do not be like the hypocrites , with sad faces to be seen by men . They have received their reward .",have received,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40008010,"When Jesus heard it , he was amazed , and said to the crowd : » I tell you , I have not found such great faith in Israel .",have not found,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,
40009033,"When the demon was cast out , the dumb man spoke . The crowd marveled , saying : » We have never seen anything like this in Israel ! «",have never seen,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,
40011012b,"» From the days of John the Baptist until now , the kingdom of heaven has been man’s goal , and men of violence have attempted to take it by force .",have attempted,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Ambiguous: could be Exp/Pfv/Semel
40011021b,"» Woe to you , Chorazin ! Woe to you , Bethsaida ! If the mighty works had been done in Tyre and Sidon that were done in you , they would have repented long ago in sackcloth and ashes .",would have repented,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,Underspecified Dt (irrealis)
40011027,"» All things have been delivered to me from my Father . Only the Father knows the Son , and only the Son knows the Father . The Son tells others about the Father so that they can know him too .",have been delievered,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,
40012018,» Look ! My servant whom I have chosen . I am well pleased with him . I will put my Spirit upon him and he will declare judgment to the nations .,have chosen,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40013051,» Have you understood all these things ? « They said to him : » Yes . «,have understood,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Ambiguous: understand as state of understanding vs moment of realization; context suggest second
40015032,"Jesus called his disciples and said : » I feel compassion for the people , because they have remained with me now three days and have nothing to eat . I do not want to send them away hungry , for they might faint on the way . «",have remained,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
40018012,"» What do you think ? A man has a hundred sheep , and one of them has gone wandering away . Will he leave the ninety-nine and go in search of the wandering one ?",has gone wandering,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Note: wandering is interpreted as a gerund with go (away) as the target verb in the predicate
40018013b,"» When he finds it , I tell you he will be filled with more joy than he would have if he had stayed with the ninety-nine .",had stayed,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,
40019012,"» For there are men who , from birth , were without sex . There are some who were made that way by men . There are others who have made themselves so for the kingdom of heaven . He who is able to accept this let him accept it . «",have made (themselves without sex),0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
40019028,"Jesus replied : » Truly I say to you , when all things are made new , and the Son of man is seated in his glory , you who have come after me will be seated on twelve seats , judging the twelve tribes of Israel .",have come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"Textual note: come after in this context conveys follow (a teacher, etc.), rather than a motion/change of location event"
40020007,» They said : ‘ No man has given us work . ’ ’ He told them to go work with the rest in the vineyard .,has given work,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40021016,"» Have you any idea what these people are saying ? « Jesus answered : » Yes . It is written , ‘ From the lips of children and babies at the breast you have made your praise complete . ’ «",have made (your praise complete),0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
40022004,"» Again he sent out other servants with orders to say to the guests , ‘ I have prepared my feast . Oxen and fat livestock are butchered and everything is ready , so come to the feast . ’",have prepared,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
40022034,The Pharisees assembled together when they heard that he had put the Sadducees to silence .,had put to silence,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
40024043c,"» Know this , if the master of the house had known what time the thief was coming , he would have watched and his house would not have been vandalized .",would not have been vandalized,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,Underspecified Dt (irrealis)
40025027b,» ‘ You should have put my money in the bank . I should have received my money back plus interest .,should have received,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,1,0,Underspecified Dt (irrealis)
40026009,» This ointment could have been sold for much and the money given to the poor . «,could have been sold,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,"split token; Underspecified Dt (irrealis)
DEU: konj2, haben, koennen, prat"
40026065,Then the high priest ripped his robes apart and said : » He has said evil against God ! Why do we need more witnesses ? You have heard his words of blasphemy ! «,have heard,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
40027023,» What evil has he done ? « Pilate asked . But they shouted : » Impale him ! «,have done evil,0,1,0,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
40027046,"About the ninth hour Jesus cried with a loud voice , » Eli , Eli , lama sabachthani ? « Which translated means : » My God , my God , why have you forsaken me ? «",have foresaken,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
40028007b,"» Go quickly and tell his disciples he has risen from the dead . See , he goes before you to Galilee . You will see him there , as I have told you . «",have told,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
41001015,Jesus said : » The time has come . The kingdom of God is at hand . Repent and believe the good news . «,has come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
41002012,"He got up , took the bed and went out before them all . They were all filled with wonder . They gave glory to God and said we have never seen anything like this .",have never seen,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,
41004015b,» These are they by the wayside where the word is sown . When they have heard ; Satan comes and takes away the word that has been sown in them .,has been sown,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,
41004029,"» When the grain is ready he immediately sends men to cut it , because the time for cutting has come . «",has come,0,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
41005015,When they came to Jesus they saw the man who had been demon possessed . He was fully clothed and in full use of his senses . So they were afraid .,had been (demon) possessed,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,
41006014a,John the Baptist had become well known . King Herod heard that John had risen from the dead . Therefore he was doing these powerful works .,had become well known,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,
41006052,They had not understood the loaves of bread . Their minds were closed .,had not understood,0,1,0,,1,1,0,1,0,0,1,0,0,0,0,0,1,0,
41009009a,They came down the mountain . He warned them not to tell anyone what they had seen until after the Son of man had risen from the dead .,had seen,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
41009034,They said nothing because they had had an argument between themselves about who was the greatest .,had had an argument,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,
41010028a,Peter said to him : » We have left all and followed you . «,have left,0,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
41010029,"Jesus said : » Truly I tell you , a man that has left house , or brothers , or sisters , or mother , or father , or children , or lands , for my sake , and for the sake of the good news ,",has left (house),0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
41012010,» Have you not read this Scripture : ‘ The stone the builders rejected was made the chief corner stone . ’,have not read,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,
41014005a,» This ointment might have been sold for more than three hundred denarii . And the money could have been given to the poor . They scolded her . «,might have been sold,0,1,0,,0,1,1,0,0,1,0,0,1,0,0,0,1,0,
41014009,"» Truly I tell you everywhere the good news is preached through out the whole world , that which this woman has done will be spoken of for a memorial of her . «",has done,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
41014064,We have heard his words against God . What is your opinion ? They all said he should be put to death .,have heard,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Ambiguous: EXP and RES (see P2 notes)
41015046,"He bought a linen cloth , and taking him down , wound him in the linen cloth . Then he laid him in a tomb that had been cut out of a rock . He rolled a stone against the door of the tomb .",had been cut,0,1,0,,1,1,0,0,0,1,0,0,1,0,0,1,0,0,
41016006a,"He said to them : » Do not be amazed . Jesus the Nazarene , who has been impaled , is not here . He has risen . Behold , the place where they laid him !",has been impaled,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,
41016014a,"Afterward he was revealed to the eleven as they sat at the table . He rebuked them for their unbelief and hardness of heart , because they did not believe those who had seen him after he had risen .",had seen,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,"DTAM: ""...after he had risen"""
42001001a,Many have attempted to write an orderly narrative about the things that have taken place .,have attempted,1,0,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
42001003,Most excellent Theophilus Greek : Theo philos : friend of God : I have accurately traced the course of all things from the beginning . Now it seems good to me to write this report to you .,have (accurately) traced,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42001025,She said : » This is the way God has dealt with me by taking away my reproach among men . «,has dealt with,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,
42001036,» Your relative Elisabeth has also conceived a son even in her old age . This so-called barren woman is in her sixth month .,has conceived,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42001049,» He that is mighty has done great things to me . Holy is his name .,has done great things,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
42002017,As soon as they saw it they told what they had heard about the child .,had heard,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,"DTAM: ""as soon as..."""
42002030,» My eyes have seen your salvation .,have seen,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
42002039,"When they had accomplished all things that were according to the law of God they returned to Galilee , to their own city Nazareth .",had accomplished (all things),0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,
42004013,When the devil had completed every temptation he departed from him for a season .,had completed (every temptation),0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,
42004035,"Jesus rebuked him , saying : » Be quiet and come out of him . « When the demon had thrown him down in front of them , he came out of him without harming him .",had thrown (him) down,0,1,0,,1,1,0,0,0,0,1,0,0,0,0,0,1,0,
42005026,Everyone was amazed and they glorified God . They were filled with fear . They said : » We have seen strange things today . «,have seen,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
42007016d,They were all afraid and they praised God . They said : » A great prophet has appeared among us . God has visited inspected selected his people . «,[has] selected,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42007045,» You did not kiss me . Since the time I came in she has not ceased kissing my feet .,has not ceased kissing,0,1,0,,0,1,0,1,0,0,1,0,0,0,0,0,1,0,
42008002b,"Traveling with him were the women who had been healed of evil spirits and infirmities . This included Mary Magdalene , from whom seven demons had gone out .",had gone out,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,
42008039a,» Return to your house and declare the great things God has done for you . « He went throughout the whole city telling the great things Jesus had done for him .,(God) has done (for you),1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,
42008056,Her parents were amazed . He charged them to tell no man what had been done .,had been done,0,1,0,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,
42009008b,Others said that Elijah had appeared and others and that one of the old prophets had risen again .,had risen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,
42010013b,"» Woe to you Chorazin ! Woe to you Bethsaida ! If the mighty works had been done in Tyre and Sidon , which were done in you , they would have repented long ago , sitting in sackcloth and ashes .",would have repented,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,
42010042,» However one thing is needed . Mary has chosen the proper way and it shall not be taken away from her . «,has chosen,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42011042,"» Woe to you Pharisees ! You tithe mint and rue and every herb , and pass over justice and the love of God . You should have done these but you leave them undone .",should have done (these),0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,
42012039b,"» Know this , that if the master of the house had known in what hour the thief was coming he would have watched . He would not have allowed his house to be broken into .",would have watched,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,
42013007a,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have been coming here,0,0,1,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
42013007c,"» So he told his gardener , I have been coming here looking for figs on this tree for three years . I have not found any . So cut it down ! Why should it continue using the soil ?",have not found,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,
42015021,"» Father , the son said : ‘ I have sinned against God and against you . I am not fit to be called your son . ’",have sinned,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
42015029a,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have worked,0,0,1,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
42015029c,» He spoke to his father in anger . All these years I have worked like a slave for you . I have never disobeyed you . What have you given me ? Not even a goat for me to have a feast with my friends !,have given,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42017010b,"The same applies to you . When you have done all you have been told to do , you say , we are unworthy servants . We have done what we ought to have done . «",have been told to do,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,
42017019,He said : » Arise and go your way . Your faith has made you whole . «,has made (you) whole,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42018028,Peter said : » Indeed we have left our own to follow you . «,have left,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
42019015,» He received the kingdom and went back to check on his servants . He wanted to know what they had gained by trading with the money he gave them .,had gained,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,
42019030,"He told them , » Go into the nearby village . You will find a colt tied . No man has ever sat on him . Untie him and bring him to me .",has sat,1,0,0,,0,1,0,1,0,0,0,0,1,0,1,0,0,0,
42019046,He said : » It is written my house shall be a house of prayer . You have made it a den of robbers . «,have made it (a den of robbers),0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42022028,» You have continued with me in my temptations .,have continued (in my temptations),0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
42023008,Herod was very happy to see Jesus . He had wanted to see him for a long time . He hoped to see him perform a miracle .,had wanted,0,0,1,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
42023015,» Herod found no fault and sent him back to us . He has done nothing worthy of death .,has done nothing,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
42024004,They were perplexed about what had happened . Two men stood by them in dazzling apparel .,had happened,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,
42024023,"» They did not find his body . They said that they had also seen a vision of angels , who said that he was alive .",had seen (a vision),0,1,0,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,
42024030,When he had sat down with them to eat he took the bread and blessed ; and breaking it he gave to them .,had sat down,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,
43001041,He found his brother Simon first . He said to him : » We have found the Messiah Christ . «,have found,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
43002010a,He said to him : » Every man sets out the good wine first . When the men have drunk freely the lower quality wine is served . You have kept the good wine until now . «,have drunk,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,
43003011,» This is the truth . We speak what we know and witness about what we have seen . But you do not receive our testimony .,have seen,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
43003024,John had not yet been thrown into prison .,had not been thrown (into prison),0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,
43003032b,"» He testifies about what he has seen and heard , but no man accepts his testimony .",[have] heard,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
43003035,» The Father loves the Son and has given all things into his hand .,has given,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
43004039,Many Samaritans of that city put faith believed in him because of what the woman said : » He told me everything I have ever done . «,have done,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,