TokenID,language,paradigm,mode,gold,pred,correct,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch
41009021,eng,participle,binary,0,1,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42007022b,eng,participle,binary,0,1,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43006027,eng,participle,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43015024a,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
43004018,eng,present_past_infinitive_modal,multiclass_required,present,past,False,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
42023008,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
40003002,eng,present_past_infinitive_modal,multiclass_required,past,present,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40024043b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,0,False,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
43011032a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
43015022a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
43015024a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
42012039b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,0,False,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
44024019,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,should,0,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
40018013a,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
44027021,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,should,would,False,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
44026032b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,0,would,False,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
41014005b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,could,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
40011023b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,0,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
40011021b,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,0,False,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0
44005026,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,should,might,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
43004010,eng,can_could_may_might_must_ought_to_shall_should_will_would,multiclass_optional,would,should,False,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
40024043b,deu,partizip,binary,0,1,False,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
43002010b,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41010020,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41016010,deu,partizip,binary,1,0,False,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
42004035,deu,partizip,binary,0,1,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
43011032a,deu,partizip,binary,1,0,False,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
43015024a,deu,partizip,binary,1,0,False,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
42001036,deu,partizip,binary,0,1,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43011021a,deu,partizip,binary,1,0,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
43003018b,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
44002030,deu,partizip,binary,1,0,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
43020012,deu,partizip,binary,1,0,False,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
42023008,deu,partizip,binary,0,1,False,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
42015029a,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
45002012b,deu,partizip,binary,0,1,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
40018012,deu,partizip,binary,0,1,False,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
45003017,deu,partizip,binary,0,1,False,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
40011012a,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
43015018,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44027021,deu,partizip,binary,0,1,False,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
42018021,deu,partizip,binary,1,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42013007c,deu,partizip,binary,0,1,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
42024030,deu,partizip,binary,0,1,False,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
43004010,deu,partizip,binary,1,0,False,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
41009013b,deu,partizip,binary,0,1,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
40024043a,deu,partizip,binary,0,1,False,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
41006052,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
43014007a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
42004035,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
43008020,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
43004001,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
43020013,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
44009027b,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
44021033,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
44011013,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
43012018,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
43004018,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
42012005,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43003018b,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
42023008,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
45002012b,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
40018013a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
44023012,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
44022029,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
44023021,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
43009018b,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
42009008a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
44020028,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42009008b,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
44016010,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
41009013b,deu,inf_prasens_prat,multiclass_required,prat,prasens,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
41006014a,deu,inf_prasens_prat,multiclass_required,prasens,prat,False,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
43014007a,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj2,False,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
42004035,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj1,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
44009027b,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
44021033,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
44011013,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
43012018,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
42009019,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42012051,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42019037,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj1,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
40018013a,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj2,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
44023012,deu,indikativ_konj1_konj2,multiclass_optional,konj2,indikativ,False,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
44022029,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj1,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
44023021,deu,indikativ_konj1_konj2,multiclass_optional,konj2,indikativ,False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
44007044b,deu,indikativ_konj1_konj2,multiclass_optional,indikativ,konj1,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
43009018b,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
42009008a,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
42009008b,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
44016010,deu,indikativ_konj1_konj2,multiclass_optional,konj1,indikativ,False,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
40018013a,deu,duerfen_koennen_moegen_muessen_sollen_wollen,multiclass_optional,0,koennen,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
44027021,deu,duerfen_koennen_moegen_muessen_sollen_wollen,multiclass_optional,sollen,0,False,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
43004010,deu,duerfen_koennen_moegen_muessen_sollen_wollen,multiclass_optional,0,sollen,False,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1
40024043b,deu,werden,binary,1,0,False,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
42015024,deu,werden,binary,1,0,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
40028007a,deu,werden,binary,1,0,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
44014026,deu,werden,binary,1,0,False,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
40017009,deu,werden,binary,1,0,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40028006,deu,werden,binary,1,0,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
40018031,deu,werden,binary,0,1,False,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
42023015,deu,werden,binary,1,0,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
40009033,deu,werden,binary,1,0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
43002010a,deu,werden,binary,1,0,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
40011012a,deu,werden,binary,1,0,False,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
43009018b,deu,werden,binary,1,0,False,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
43003024,deu,werden,binary,1,0,False,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1
42001013,deu,werden,binary,1,0,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
43003028,deu,werden,binary,0,1,False,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
40001018,deu,werden,binary,0,1,False,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
43012038b,deu,werden,binary,1,0,False,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
41006014a,deu,werden,binary,1,0,False,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
40024043b,deu,haben_sein,multiclass_optional,0,haben,False,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
43002010b,deu,haben_sein,multiclass_optional,haben,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41006052,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
44023014a,deu,haben_sein,multiclass_optional,haben,sein,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
41010020,deu,haben_sein,multiclass_optional,haben,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42004035,deu,haben_sein,multiclass_optional,0,haben,False,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
44028021b,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
44005009,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43015024a,deu,haben_sein,multiclass_optional,haben,0,False,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0
42015024,deu,haben_sein,multiclass_optional,0,sein,False,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
41002017,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
42001036,deu,haben_sein,multiclass_optional,0,haben,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
40028006,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
43003018b,deu,haben_sein,multiclass_optional,haben,sein,False,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
41003026,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
44002030,deu,haben_sein,multiclass_optional,haben,0,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
43020012,deu,haben_sein,multiclass_optional,haben,sein,False,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
41009021,deu,haben_sein,multiclass_optional,sein,haben,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44023001,deu,haben_sein,multiclass_optional,sein,haben,False,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42023008,deu,haben_sein,multiclass_optional,0,haben,False,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
42015029a,deu,haben_sein,multiclass_optional,0,haben,False,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
45002012b,deu,haben_sein,multiclass_optional,0,haben,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
42023015,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
40018012,deu,haben_sein,multiclass_optional,0,sein,False,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
45003017,deu,haben_sein,multiclass_optional,0,haben,False,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
40009033,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
43002010a,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
40011012a,deu,haben_sein,multiclass_optional,sein,0,False,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
40018013a,deu,haben_sein,multiclass_optional,0,haben,False,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
41010028b,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
45003003,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
43015018,deu,haben_sein,multiclass_optional,haben,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44027021,deu,haben_sein,multiclass_optional,haben,sein,False,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
44028027a,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
42018021,deu,haben_sein,multiclass_optional,haben,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42015027,deu,haben_sein,multiclass_optional,haben,sein,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
42022032,deu,haben_sein,multiclass_optional,haben,sein,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
40011023b,deu,haben_sein,multiclass_optional,0,sein,False,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
40019011,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
42013007c,deu,haben_sein,multiclass_optional,0,haben,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
43009018b,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
42024030,deu,haben_sein,multiclass_optional,0,sein,False,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
44017006b,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
43003013,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
42001013,deu,haben_sein,multiclass_optional,sein,haben,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
41009013b,deu,haben_sein,multiclass_optional,0,haben,False,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
40024043a,deu,haben_sein,multiclass_optional,0,haben,False,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
45003012a,deu,haben_sein,multiclass_optional,sein,haben,False,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
43012016,deu,haben_sein,multiclass_optional,haben,sein,False,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
43002010b,cmn,le_guo,multiclass_optional,guo,0,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44010014,cmn,le_guo,multiclass_optional,0,le,False,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
